email,firstName,lastName,vip,service
john.smith@example.com,John,Smith,Oui,SG
alice.johnson@example.com,Alice,Johnson,Non,OH
robert.williams@example.com,Robert,Williams,Oui,DAF
emily.jones@example.com,Emily,Jones,Non,DNUM
michael.brown@example.com,Michael,Brown,Non,OH
jessica.davis@example.com,Jessica,Davis,Non,DNUM
david.miller@example.com,David,Miller,Oui,OH
linda.wilson@example.com,Linda,Wilson,Non,DAF
richard.moore@example.com,Richard,Moore,Oui,SG
karen.taylor@example.com,Karen,Taylor,Non,OH
